Variable Position	Variable Name	Code	Label
0	ballot	4	Ballot d
0	ballot	3	Ballot c
0	ballot	2	Ballot b
0	ballot	1	Ballot a
0	ballot	0	Not applicable
1	rincome	99	No answer
1	rincome	98	Dont know
1	rincome	13	Refused
1	rincome	12	l 25000 or more
1	rincome	11	k 20000 to 24999
1	rincome	10	j 15000 to 19999
1	rincome	9	i 10000 to 14999
1	rincome	8	h 8000 to 9999
1	rincome	7	g 7000 to 7999
1	rincome	6	f 6000 to 6999
1	rincome	5	e 5000 to 5999
1	rincome	4	d 4000 to 4999
1	rincome	3	c 3000 to 3999
1	rincome	2	b 1000 to 2999
1	rincome	1	a Lt  1000
1	rincome	0	Not applicable
2	income	99	No answer
2	income	98	Dont know
2	income	13	Refused
2	income	12	l 25000 or more
2	income	11	k 20000 to 24999
2	income	10	j 15000 to 19999
2	income	9	i 10000 to 14999
2	income	8	h 8000 to 9999
2	income	7	g 7000 to 7999
2	income	6	f 6000 to 6999
2	income	5	e 5000 to 5999
2	income	4	d 4000 to 4999
2	income	3	c 3000 to 3999
2	income	2	b 1000 to 2999
2	income	1	a Lt  1000
2	income	0	Not applicable
3	earnrs	9	No answer
3	earnrs	8	Eight or more
4	unrelat	9	No answer
4	unrelat	8	8 or more
4	unrelat	to1	Not applicable
5	adults	9	No answer
5	adults	8	8 or more
6	teens	9	No answer
6	teens	8	8 or more
7	preteen	9	No answer
7	preteen	8	8 or more
8	babies	9	No answer
8	babies	8	8 or more
9	hompop	99	No answer
9	hompop	98	Dont know
10	region	9	Pacific
10	region	8	Mountain
10	region	7	W  sou  central
10	region	6	E  sou  central
10	region	5	South atlantic
10	region	4	W  nor  central
10	region	3	E  nor  central
10	region	2	Middle atlantic
10	region	1	New england
10	region	0	Not assigned
11	xnorcsiz	10	Open country
11	xnorcsiz	9	Smaller areas
11	xnorcsiz	8	Town gt 2500
11	xnorcsiz	7	City1 10to49999
11	xnorcsiz	6	Uninc med city
11	xnorcsiz	5	Uninc lrg city
11	xnorcsiz	4	Suburb  med city
11	xnorcsiz	3	Suburb  lrg city
11	xnorcsiz	2	City2 50to250000
11	xnorcsiz	1	City3 gt 250000
11	xnorcsiz	0	Not assigned
12	srcbelt	6	Other rural
12	srcbelt	5	Other urban
12	srcbelt	4	Suburb  13to100
12	srcbelt	3	Suburb  12 lrgst
12	srcbelt	2	Smsas 13to100
12	srcbelt	1	12 lrgst smsas
12	srcbelt	0	Not assigned
13	localnum	9	No answer
13	localnum	8	Dont know
13	localnum	7	g 2000and up
13	localnum	6	f 1000to1999
13	localnum	5	e 500to999
13	localnum	4	d 100to499
13	localnum	3	c 50to99
13	localnum	2	b 10 to 49
13	localnum	1	a 1 to 9
13	localnum	0	Not applicable
14	supervis	9	No answer
14	supervis	8	Dont know
14	supervis	2	Doesnt supervise
14	supervis	1	Supervises
14	supervis	0	No issp
15	stress	9	No answer
15	stress	8	Cant choose
15	stress	5	1 Never
15	stress	4	2 Hardly ever
15	stress	3	3 Sometimes
15	stress	2	4 Often
15	stress	1	5 Always
15	stress	0	No issp
16	satfin	9	No answer
16	satfin	8	Dont know
16	satfin	3	1 Not at all sat
16	satfin	2	2 More or less
16	satfin	1	3 Satisfied
16	satfin	0	Not applicable
